zipcode,DealerName,Address,Link,city,state,county_name,Latitude,IV_link,Longitude
8753,Gateway Toyota,"395 Rt 37E & Batchelor St, Toms River, New Jersey 08753",http://www.gatewaytoyota.com,Toms River,NJ,Ocean County,NA,http://www.gatewaytoyota.com/new-cars.aspx,NA
8809,Muller Toyota,"Route 31 South, Clinton, New Jersey 08809",http://www.mullertoyota.com,Clinton,NJ,Hunterdon County,NA,http://www.mullertoyota.com/new-inventory/index.htm,NA
8810,Dayton Toyota,"2291 Route 130, Dayton, New Jersey 08810",http://www.daytontoyota.com,Dayton,NJ,Middlesex County,NA,http://www.daytontoyota.com/new-inventory/?,NA
8812,Crystal Toyota,"220 Route 22 West, Green Brook, New Jersey 08812",http://www.crystaltoyota.com,Dunellen,NJ,Middlesex County,NA,http://www.crystaltoyota.com/new-inventory/,NA
8822,Fred Beans Toyota of Flemington,"174 Route 202 North, Flemington, New Jersey 08822",http://www.fredbeanstoyota.com,Flemington,NJ,Hunterdon County,NA,http://www.fredbeanstoyota.com/new-inventory/index.htm,NA
8902,DCH Brunswick Toyota,"1504 US Route 1, North Brunswick, New Jersey 08902",http://www.dchbrunswicktoyota.com,North Brunswick,NJ,Middlesex County,NA,http://dchbrunswicktoyota.com/inventory/newsearch/New/,NA
10036,Toyota of Manhattan,"645 11th Avenue, New York, New York 10036",http://www.toyotaofmanhattan.com,New York,NY,New York County,NA,http://www.toyotaofmanhattan.com/searchnew.aspx,NA
10305,Island Toyota,"1591 Hylan Boulevard, Staten Island, New York 10305",http://www.islandtoyota.com,Staten Island,NY,Richmond County,NA,NA,NA
10468,Fordham Toyota,"236-240 W. Fordham Road, Bronx, New York 10468",http://www.fordhamtoyota.com,Bronx,NY,Bronx County,NA,http://www.fordhamtoyota.com/searchnew.aspx,NA
10469,City World Toyota,"3333 Boston Road, Bronx, New York 10469",http://www.cityworldtoyota.com,Bronx,NY,Bronx County,NA,http://cityworldtoyota.com/Bronx-NY/For-Sale/New/,NA
10543,DCH Toyota City,"1305 East Boston Post Rd., Mamaroneck, New York 10543",http://www.dchtoyotacity.com,Mamaroneck,NY,Westchester County,NA,http://dchtoyotacity.com/inventory/newsearch/New/,NA
10549,Rivera Toyota of Mt. Kisco,"325 N. Bedford Road, Mt. Kisco, New York 10549",http://www.riveratoyotaofmtkisco.com,Mount Kisco,NY,Westchester County,NA,http://riveratoyotaofmtkisco.com/searchnew.aspx,NA
10567,Curry Toyota,"3026 E. Main Street, Cortlandt Manor, New York 10567",http://www.currytoyota.com,Cortlandt Manor,NY,Westchester County,NA,http://www.currytoyota.com/new-toyota/prius-cortlandt-manor.htm,NA
10710,Westchester Toyota,"2167 Central Park Avenue, Yonkers, New York 10710",http://www.westchestertoyota.com,Yonkers,NY,Westchester County,NA,http://www.westchestertoyota.com/searchnew.aspx,NA
10801,New Rochelle Toyota,"47 Cedar Street, New Rochelle, New York 10801",http://www.newrochelletoyota.com,New Rochelle,NY,Westchester County,NA,http://www.newrochelletoyota.com/new-cars-new-rochelle-ny,NA
10913,Rockland Toyota,"618 Route 303, Blauvelt, New York 10913",http://www.rocklandtoyota.com,Blauvelt,NY,Rockland County,NA,http://www.rocklandtoyota.com/search/new/tp/,NA
10952,Interstate Toyota,"411 Route 59, Airmont, New York 10952",http://www.interstatetoyota.net,Monsey,NY,Rockland County,NA,http://www.interstatetoyota.net/new-inventory/index.htm,NA
10958,Johnstons Toyota,"5015 Route 17M, New Hampton, New York 10958",http://www.johnstonstoyota.com,New Hampton,NY,Orange County,NA,http://johnstonstoyota.com/New-Hampton-NY/For-Sale/New/,NA
11210,Plaza Toyota,"2721 Nostrand Avenue, Brooklyn, New York 11210",http://www.plazatoyota.com,Brooklyn,NY,Kings County,NA,http://www.plazatoyota.com/inventory,NA
11220,Bay Ridge Toyota,"6401 6th Avenue, Brooklyn, New York 11220",http://www.bayridgetoyota.com,Brooklyn,NY,Kings County,NA,http://www.bayridgetoyota.com/searchnew.aspx,NA
11361,Star Toyota of Bayside,"205-11 Northern Blvd., Bayside, New York 11361",http://www.startoyota.net,Bayside,NY,Queens County,NA,http://startoyota.net/Queens/For-Sale/New/,NA
11377,Queensboro Toyota,"62-10 Northern Boulevard, Woodside, New York 11377",http://www.queensborotoyota.com,Woodside,NY,Queens County,NA,http://www.queensborotoyota.com/searchnew.aspx,NA
11435,Lee's Toyota,"139-65 Queens Blvd., Jamaica, New York 11435",http://www.leestoyota.com,Jamaica,NY,Queens County,NA,http://leestoyota.com/Jamaica-New-York/For-Sale/New/,NA
11548,Penn Toyota,"2400 Northern Blvd., Greenvale, New York 11548",http://www.penntoyota.com,Greenvale,NY,Nassau County,NA,http://www.penntoyota.com/search/new/tp/,NA
11550,Millennium Toyota,"257 North Franklin Street, Hempstead, New York 11550",http://www.millenniumtoyota.com,Hempstead,NY,Nassau County,NA,http://www.millenniumtoyota.com/new-inventory/index.htm,NA
